2019-02-15 22:53:40
Running ./code
Run on (64 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32K (x32)
  L1 Instruction 32K (x32)
  L2 Unified 1024K (x32)
  L3 Unified 22528K (x2)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bytes/clk"
"linear traversal/1 KB:1024/64/3900/1/threads:1",29873,23400.2,23345.3,ns,4.38631e+11,,,,,111.845
"linear traversal/2 KB:2048/64/3900/1/threads:1",14792,47429.9,47318.6,ns,4.3281e+11,,,,,110.01
"linear traversal/4 KB:4096/64/3900/1/threads:1",7354,95293.2,95069.8,ns,4.30841e+11,,,,,110.135
"linear traversal/8 KB:8192/64/3900/1/threads:1",3100,226280,225749,ns,3.6288e+11,,,,,92.8806
"linear traversal/16 KB:16384/64/3900/1/threads:1",1730,405803,404852,ns,4.04691e+11,,,,,102.799
"linear traversal/24 KB:24576/64/3900/1/threads:1",1212,579682,578322,ns,4.24954e+11,,,,,108.428
"linear traversal/28 KB:28672/64/3900/1/threads:1",1047,671079,669507,ns,4.28255e+11,,,,,108.421
"linear traversal/32 KB:32768/64/3900/1/threads:1",927,754266,752498,ns,4.35456e+11,,,,,110.384
"linear traversal/34 KB:34816/64/3900/1/threads:1",565,1.24108e+06,1.23818e+06,ns,2.81188e+11,,,,,71.4725
"linear traversal/36 KB:36864/64/3900/1/threads:1",373,2.19694e+06,2.19178e+06,ns,1.68192e+11,,,,,42.8116
"linear traversal/40 KB:40960/64/3900/1/threads:1",322,2.04105e+06,2.03627e+06,ns,2.01153e+11,,,,,50.3296
"linear traversal/48 KB:49152/64/3900/1/threads:1",286,3.38389e+06,3.37596e+06,ns,1.45594e+11,,,,,37.2854
"linear traversal/64 KB:65536/64/3900/1/threads:1",100,5.02701e+06,5.01523e+06,ns,1.30674e+11,,,,,31.9028
"linear traversal/128 KB:131072/64/3900/1/threads:1",94,6.02829e+06,6.01413e+06,ns,2.1794e+11,,,,,54.8354
"linear traversal/256 KB:262144/64/3900/1/threads:1",60,1.13655e+07,1.13388e+07,ns,2.31191e+11,,,,,58.795
"linear traversal/384 KB:393216/64/3900/1/threads:1",42,1.669e+07,1.66509e+07,ns,2.36153e+11,,,,,60.0568
"linear traversal/448 KB:458752/64/3900/1/threads:1",36,1.93033e+07,1.9258e+07,ns,2.38213e+11,,,,,60.5808
"linear traversal/480 KB:491520/64/3900/1/threads:1",34,2.18429e+07,2.17917e+07,ns,2.25554e+11,,,,,56.6865
"linear traversal/512 KB:524288/64/3900/1/threads:1",32,2.19651e+07,2.19137e+07,ns,2.39252e+11,,,,,61.3202
"linear traversal/544 KB:557056/64/3900/1/threads:1",30,2.39778e+07,2.39216e+07,ns,2.32867e+11,,,,,58.5245
"linear traversal/608 KB:622592/64/3900/1/threads:1",27,2.59062e+07,2.58454e+07,ns,2.40891e+11,,,,,61.6199
"linear traversal/640 KB:655360/64/3900/1/threads:1",24,2.72277e+07,2.71638e+07,ns,2.41262e+11,,,,,61.3561
"linear traversal/768 KB:786432/64/3900/1/threads:1",21,3.51623e+07,3.50799e+07,ns,2.24183e+11,,,,,57.0127
"linear traversal/896 KB:917504/64/3900/1/threads:1",15,4.65738e+07,4.64646e+07,ns,1.97463e+11,,,,,50.2174
"linear traversal/960 KB:983040/64/3900/1/threads:1",14,4.92946e+07,4.91791e+07,ns,1.9989e+11,,,,,50.8346
"linear traversal/1 MB:1048576/64/3900/1/threads:1",12,5.73303e+07,5.7196e+07,ns,1.8333e+11,,,,,46.6233
"linear traversal/1.0625 MB:1114112/64/3900/1/threads:1",5,1.33864e+08,1.3355e+08,ns,8.3423e+10,,,,,20.966
"linear traversal/1.125 MB:1179648/64/3900/1/threads:1",4,1.88947e+08,1.88504e+08,ns,6.25796e+10,,,,,15.9148
"linear traversal/1.25 MB:1310720/64/3900/1/threads:1",2,3.16105e+08,3.15364e+08,ns,4.15621e+10,,,,,9.51281
"linear traversal/1.5 MB:1572864/64/3900/1/threads:1",1,5.50859e+08,5.49568e+08,ns,2.862e+10,,,,,7.27844
"linear traversal/2 MB:2097152/64/3900/1/threads:1",1,7.72536e+08,7.70722e+08,ns,2.72102e+10,,,,,6.48742
"linear traversal/2.5 MB:2105344/64/3900/1/threads:1",1,7.75726e+08,7.73909e+08,ns,2.7204e+10,,,,,6.46071
"linear traversal/3 MB:3145728/64/3900/1/threads:1",1,1.15852e+09,1.1558e+09,ns,2.72168e+10,,,,,6.92159
"linear traversal/4 MB:4194304/64/3900/1/threads:1",1,1.5448e+09,1.54118e+09,ns,2.72149e+10,,,,,6.48854
"linear traversal/6 MB:6291456/64/3900/1/threads:1",1,2.31801e+09,2.31258e+09,ns,2.72054e+10,,,,,6.91868
"linear traversal/8 MB:8388608/64/3900/1/threads:1",1,3.08998e+09,3.08273e+09,ns,2.72116e+10,,,,,6.81214
"linear traversal/12 MB:12582912/64/3900/1/threads:1",1,4.63512e+09,4.62426e+09,ns,2.72107e+10,,,,,6.92003
"linear traversal/16 MB:16777216/64/3900/1/threads:1",1,6.17983e+09,6.16534e+09,ns,2.72122e+10,,,,,6.97448
"linear traversal/20 MB:20971520/64/3900/1/threads:1",1,7.72348e+09,7.70537e+09,ns,2.72168e+10,,,,,6.87832
"linear traversal/21 MB:22020096/64/3900/1/threads:1",1,8.1286e+09,8.10954e+09,ns,2.71533e+10,,,,,6.90544
"linear traversal/22 MB:23068672/64/3900/1/threads:1",1,8.53099e+09,8.51097e+09,ns,2.71046e+10,,,,,6.93223
"linear traversal/23 MB:24117248/64/3900/1/threads:1",1,9.11202e+09,9.09065e+09,ns,2.65297e+10,,,,,6.71019
"linear traversal/24 MB:25165824/64/3900/1/threads:1",1,9.92655e+09,9.90328e+09,ns,2.54116e+10,,,,,6.46251
"linear traversal/25 MB:26214400/64/3900/1/threads:1",1,1.08148e+10,1.07894e+10,ns,2.42964e+10,,,,,6.20978
"linear traversal/26 MB:27262976/64/3900/1/threads:1",1,1.15905e+10,1.15633e+10,ns,2.35771e+10,,,,,5.96714
"linear traversal/27 MB:28311552/64/3900/1/threads:1",1,1.252e+10,1.24906e+10,ns,2.26662e+10,,,,,5.76432
"linear traversal/28 MB:29360128/64/3900/1/threads:1",1,1.31956e+10,1.31646e+10,ns,2.23023e+10,,,,,5.69708
"linear traversal/32 MB:33554432/64/3900/1/threads:1",1,1.66862e+10,1.66471e+10,ns,2.01563e+10,,,,,5.16607
"linear traversal/36 MB:37748736/64/3900/1/threads:1",1,2.01777e+10,2.01304e+10,ns,1.87521e+10,,,,,4.76892
"linear traversal/40 MB:41943040/64/3900/1/threads:1",1,2.35361e+10,2.34809e+10,ns,1.78626e+10,,,,,4.55689
"steps/1 lines:1048576/64/3900/1/threads:1",12,5.76562e+07,5.75207e+07,ns,1.82295e+11,,,,,46.3601
"steps/2 lines:1048576/128/3900/1/threads:1",2,4.84136e+08,4.83001e+08,ns,2.17096e+10,,,,,5.17597
"steps/3 lines:1048576/192/3900/1/threads:1",3,2.53176e+08,2.52583e+08,ns,4.15142e+10,,,,,10.5576
"steps/4 lines:1048576/256/3900/1/threads:1",2,4.88418e+08,4.87271e+08,ns,2.15193e+10,,,,,5.13061
"steps/5 lines:1048576/320/3900/1/threads:1",3,2.16395e+08,2.15888e+08,ns,4.85704e+10,,,,,12.3521
"steps/6 lines:1048576/384/3900/1/threads:1",2,4.85871e+08,4.84732e+08,ns,2.16321e+10,,,,,5.15749
"steps/7 lines:1048576/448/3900/1/threads:1",12,5.67486e+07,5.66156e+07,ns,1.8521e+11,,,,,47.1012
"steps/8 lines:1048576/512/3900/1/threads:1",2,4.90337e+08,4.89186e+08,ns,2.14351e+10,,,,,5.11053
"steps/9 lines:1048576/576/3900/1/threads:1",8,9.18217e+07,9.16066e+07,ns,1.14465e+11,,,,,28.6552
